series,title,description,embed_url,level,track,primary,secondary,admin
In the classroom,An Introduction,"In the Classroom 
is a series of episode that 
shares classroom 
pedagogical 
ideas based on students' 
needs.",https://www.youtube.com/embed/nASvIgSOCxw,1,teaching,1,1,1
In the classroom,Setting Students for Success through a SEL Focused Lesson Plan,N/A,https://www.youtube.com/embed/Zgu7TfDCtIQ,1,teaching,1,1,1
In the classroom,Differentiated Learning: Teaching Children of Different Levels,N/A,https://www.youtube.com/embed/h7-D3gi2lL8,1,teaching,1,1,1
In the classroom,How Routines can Overcome Behavior Issues,N/A,https://www.youtube.com/embed/ziJ0SFzBxOw,1,teaching,1,1,1
In the classroom,Choiceboard: A Strategy to Increase Children's Autonomy,N/A,https://www.youtube.com/embed/k70XFYwxUrw,1,teaching,1,1,1
In the classroom,Reward Chart,N/A,https://www.youtube.com/embed/kc2pIBUytwo,1,teaching,1,1,1
In the classroom,Parking Lot,N/A,https://www.youtube.com/embed/3x_tLardR2Y,1,teaching,1,1,1
Play ideas ,An Introduction,"To define play ideas.
To introduce strategies to promote language acquisition, communication skills, and concentration through games.",https://www.youtube.com/embed/YYfDFfmAufY,2,teaching,1,0,0
Play ideas ,This or That,"This episode shows how teachers can use This or That in the classroom to help students build connections with one another, promote a higher order thinking skill, and boost their moods.",https://www.youtube.com/embed/Rvk-pZo0Nm4,2,teaching,1,0,0
Play ideas ,Simon Says,This episode shows how teachers can use Simon Says in the classroom to boost students' moods and engage their motor skills.,https://www.youtube.com/embed/w1EBjb4g8CA,2,teaching,1,0,0
Play ideas ,Truth or Dare,This episode shows how teachers can use Truth or Dare in the classroom to,https://www.youtube.com/embed/VpyCJnJsko0,2,teaching,1,0,0
Collaborative learning,An Introduction,"1. To define collaborative learning.

2. To introduce strategies of collaborative learning that promote critical thinking and problem-solving skills.",https://www.youtube.com/embed/rWEwv_qobpU,3,teaching,1,1,0
Collaborative learning,Jigsaw Method,To teach teachers how to use Jigsaw Method in the classroom to promote collaboration among students of different backgrounds.,https://www.youtube.com/embed/mtm5_w6JthA,3,teaching,1,1,0
Collaborative learning,Think-pair-share,"This video shows a classroom teacher using the think, pair, share (turn and talk)  technique during a math lesson, demonstrating the powerful way to incorporate thinking ""wait time"" and oral language across subjects.",https://www.youtube.com/embed/tPSfolz_700,3,teaching,1,1,0
Collaborative learning,Agreement Circles,N/A,https://www.youtube.com/embed/kWMa1xU3Ito,3,teaching,1,1,0
CikguSpeaks,Teaching: Not a Top Career Choice for Gen-Zs,N/A,https://www.youtube.com/embed/RUvIQJo2j5g,1,leadership,1,1,1
CikguSpeaks,Malaysian Teacher's First Day At School,N/A,https://www.youtube.com/embed/EGWYZ6-7yzc,1,leadership,1,1,1
CikguSpeaks,Malaysian Teacher' Teaches Math in Myanmar,N/A,https://www.youtube.com/embed/U2jrKRRAruc,1,leadership,1,1,1
CikguSpeaks,Malaysia Teacher Gone Viral,N/A,https://www.youtube.com/embed/Y6XEmqlETaU,1,leadership,1,1,1
CikguSpeaks,How Much Should A Teacher Spend on Students?,N/A,https://www.youtube.com/embed/JsAL5PS9tqE,1,leadership,1,1,1
Presentations,How to Start a Class Presentation : Teacher & Student Communication,Not everyone enjoys speaking in front of a group. Find out how to effectively start a class presentation with help from a communications professional in this free video clip.,https://www.youtube.com/embed/xzBoWzvMAIw,1,multimedia,1,1,1
Presentations,How to start a presentation,"How to start a presentation is just as important as the ending of one. The opening or beginning of your speech often determines how long the audience will “tune in” to your presentation. If you bore your audience right from the start, you already lost them. You need a strong intro or a strong opening line to grab the attention from the very beginning.",https://www.youtube.com/embed/LrjlW00kkws,1,multimedia,1,1,1
Presentations,The 3 Magic Ingredients of Amazing Presentations | Phil WAKNELL | TEDxSaclay,"Why are most presentations so boring and ineffective? And why are TED talks the exceptions that prove the rule? Over the last ten years, as a specialist in high-impact presentations, Phil Waknell has saved thousands of audiences from a painful death by boredom or bullet-points. In this short and entertaining talk, he distills all this experience into the three magic ingredients of successful presentations, and shares a simple but powerful technique to understand your real objectives, work out what to say to achieve them, and formulate those ideas into a compelling narrative. No magic wand required! After watching this talk, you'll never think of presentations the same way again... Phil Waknell is a leading expert in the art of presenting, and the author of The Business Presentation Revolution. As Chief Inspiration Officer at Ideas on Stage, the global presentation specialists, Phil helps business leaders, entrepreneurs and TED(x) speakers to imagine, prepare and deliver high-impact talks that transform their audiences. Phil has taught business communication at HEC Paris Executive Education since 2010, and has coached TEDxSaclay speakers since the very first edition. This talk was given at a TEDx event using the TED conference format but independently organized by a local community. ",https://www.youtube.com/embed/yoD8RMq2OkU,1,multimedia,1,1,1
Project based learning,Project-based learning in the classroom - 9 Amazing apps for PBL,"PBL or project-based learning is an active learning method in which students identify a real-world problem and develop a solution for it. Students work on a bigger project. They investigate and respond to an engaging or complex question, problem or challenge.",https://www.youtube.com/embed/YtUwOanzkfk,4,teaching,0,1,0
Project based learning,"Project Based Learning: Why, How, and Examples","Project based learning, PBL, is explained in full detail with examples and instructions for implementation. Teachers, educators, administrators, students, and more will develop a better understand of project based learning. This video is designed to help people get an deeper understanding than typical overview videos. The video begins with a description of why Project based learning is so important for students and in education in general. PBL can be used by teachers various disciplines. Some of the important reasons for using projects in your classroom such as allowing students to develop communication skills, utlilize 21st century life skills, become engage with the content, and share their projects with others in a public matter. The video also provides specific examples of projects that have been used by different teachers. The examples also include some of my favorite projects that I have created over the years. The projects are from different grade levels including algebra, social studies, and science classes. The video also presents the four different steps that will allow educators to implement project based learning. It begins with a driving question, an inquiry into the question, finding a solution, and presenting the material. This video is part of a google for education certified educator playlist where teachers look to earn google certificates and expand their career through professional development.",https://www.youtube.com/embed/EuzgJlqzjFw,4,teaching,0,1,0
Project based learning,Bringing Identity Work to Project-Based Learning,"As they emerged from the difficulties of the past few years, these students combined humanities, STEM, and the arts in a project that celebrated their identities as individuals and as a community.",https://www.youtube.com/embed/D6wj0sPxu3c,4,teaching,0,1,0
Project based learning,High School Teachers Meet the Challenges of PBL Implementation,Teachers at Sammamish High School in Washington share their difficulties and triumphs as their school moves from traditional delivery of instruction to schoolwide problem-based learning.,https://www.youtube.com/embed/nMCCLB9gOag,4,teaching,0,1,0
